countrycode,countryname,adminone,adminlevel,population,date,datatype,fcs people,fcs prevalence,rcsi people,rcsi prevalence,health access people,health access prevalence,market access people,market access prevalence
#country+code,#country+name,#adm1+name,#meta+adminlevel,#population+total,#date,#data+type,#population+fcs,#indicator+fcs+prevalence,#population+rcsi,#indicator+rcsi+prevalence,#population+health_access,#indicator+health_access+prevalence,#population+market_access,#indicator+market_access+prevalence
MDG,Madagascar,,national,,2024-03-04,SURVEY,8456947,0.32215332807656305,7816509,0.2977569119407755,2155430,0.08210751797908643,3180077,0.12113974014886676
MDG,Madagascar,,national,,2024-03-03,SURVEY,8604019,0.32775579126651516,7708249,0.2936329211224791,2185552,0.08325496662992705,3222276,0.1227472490461335
MDG,Madagascar,,national,,2024-03-02,SURVEY,8654571,0.3296814856147151,7845463,0.29885986642190426,2227397,0.08484898329823913,3284548,0.12511939962610666
MDG,Madagascar,,national,,2024-03-01,SURVEY,8597649,0.327513141248951,7748351,0.2951605462736907,2175090,0.08285642813079001,3330646,0.12687541988738874
MDG,Madagascar,,national,,2024-02-29,SURVEY,8578497,0.3267835776576483,7827478,0.29817475775494634,2126254,0.08099610787983365,3322466,0.12656381292549368
MDG,Madagascar,,national,,2024-02-28,SURVEY,8510050,0.32417620301615424,7781881,0.2964378158651892,2125316,0.08096037908496614,3307374,0.12598891659750516
MDG,Madagascar,,national,,2024-02-27,SURVEY,8405820,0.3202057344947738,7819082,0.29785492609702147,2147878,0.08181984665022998,3282009,0.12502267370491907
MDG,Madagascar,,national,,2024-02-26,SURVEY,8464145,0.3224275401831417,7849225,0.2990031695915766,2219536,0.08454953350560422,3317421,0.1263716351960077
MDG,Madagascar,,national,,2024-02-25,SURVEY,8465539,0.3224806117299459,7737006,0.29472837736478674,2204060,0.08396000381263909,3256461,0.12404946223317587
MDG,Madagascar,,national,,2024-02-24,SURVEY,8467393,0.3225512555373427,7707730,0.29361315682912575,2227832,0.08486555612609907,3236033,0.12327129557670917
MDG,Madagascar,,national,,2024-02-23,SURVEY,8494808,0.32359558437274183,7669989,0.2921754761952832,2236621,0.08520035589665842,3350669,0.12763817253532708
MDG,Madagascar,,national,,2024-02-22,SURVEY,8480651,0.32305629700003546,7537961,0.28714604506579033,2355387,0.08972455161929456,3308228,0.12602144946852908
MDG,Madagascar,,national,,2024-02-21,SURVEY,8512559,0.32427177919882855,7604736,0.289689771672347,2355718,0.08973715800072372,3191160,0.12156193814559875
MDG,Madagascar,,national,,2024-02-20,SURVEY,8668480,0.3302113304059874,7476000,0.2847857919050376,2235907,0.08517316161668553,3185057,0.12132946623273592
MDG,Madagascar,,national,,2024-02-19,SURVEY,8800342,0.33523439401690813,7485442,0.28514546512155015,2242602,0.08542819129279128,3134225,0.11939308647188944
MDG,Madagascar,,national,,2024-02-18,SURVEY,8779954,0.3344577470610038,7509358,0.28605650537058913,2227350,0.08484718790453112,3092723,0.11781215329826147
MDG,Madagascar,,national,,2024-02-17,SURVEY,8822817,0.33609054176724895,7492858,0.28542795616147093,2200455,0.08382267640035392,3085514,0.11753753999403954
MDG,Madagascar,,national,,2024-02-16,SURVEY,8765712,0.33391522175464766,7527842,0.28676062261273816,2225445,0.08477462899558309,3017521,0.11494745596403476
MDG,Madagascar,,national,,2024-02-15,SURVEY,8833771,0.3365078161813639,7552834,0.2877126512924498,2283624,0.08699086198302504,3014147,0.11481892321864608
MDG,Madagascar,,national,,2024-02-14,SURVEY,8948223,0.3408676747941341,7559547,0.28796837186410884,2341912,0.0892112409053348,3038138,0.11573281554926697
MDG,Madagascar,,national,,2024-02-13,SURVEY,8870512,0.33790740347815024,7383731,0.2812709537162145,2358977,0.08986130554099778,3022763,0.1151471349718609
MDG,Madagascar,,national,,2024-02-12,SURVEY,8937443,0.34045702862066696,7244690,0.2759744180385665,2305741,0.0878333714846185,2986062,0.11374906891682596
MDG,Madagascar,,national,,2024-02-11,SURVEY,9041255,0.34441157412715784,7213572,0.274789035330042,2252900,0.08582047299590383,2952853,0.11248403090718566
MDG,Madagascar,,national,,2024-02-10,SURVEY,9146080,0.3484047081840868,7039752,0.26816764572891794,2362278,0.0899870512306539,3064470,0.11673589765359058
MDG,Madagascar,,national,,2024-02-09,SURVEY,9131984,0.3478677445049409,7027606,0.2677049640570318,2356645,0.08977247489781463,3154644,0.1201709310227118
MDG,Madagascar,,national,,2024-02-08,SURVEY,9138997,0.3481348930777169,7047264,0.2684537872594321,2349526,0.08950128279179786,3215176,0.12247680069144175
MDG,Madagascar,,national,,2024-02-07,SURVEY,8977165,0.34197017215521813,7015873,0.2672580234987102,2309006,0.08795774020686561,3167376,0.12065593350421978
MDG,Madagascar,,national,,2024-02-06,SURVEY,9042455,0.3444572861316254,7003565,0.2667891621408608,2279691,0.0868410396776826,3165255,0.12057512974719997
